game_no,team,opp,result,location,FG,FGA,x2P,x2PA,x3P,x3PA,FT,FTA,PTS
281,HOU,OKC,W,H,50,79,30,40,20,39,17,21,137
282,OKC,HOU,L,H,47,94,36,64,11,30,20,28,125
283,IND,PHI,W,H,38,89,31,72,7,17,24,29,107
284,PHI,IND,L,H,35,88,21,47,14,41,10,14,94
285,LAC,SAC,L,H,32,78,22,49,10,29,23,28,97
286,SAC,LAC,W,H,38,84,25,56,13,28,9,13,98
287,LAL,POR,L,H,33,84,28,63,5,21,10,17,81
288,POR,LAL,W,H,36,89,24,61,12,28,13,18,97
289,CHI,MIL,W,H,46,85,36,64,10,21,7,10,109
290,MIL,CHI,L,H,37,84,30,61,7,23,13,17,94
291,CLE,WAS,L,H,41,83,29,50,12,33,21,27,115
292,WAS,CLE,W,H,49,82,41,64,8,18,21,26,127
293,DAL,TOR,L,H,31,82,24,54,7,28,17,20,86
294,TOR,DAL,W,H,39,81,30,60,9,21,7,9,94
295,LAC,UTA,W,H,38,84,31,57,7,27,25,28,108
296,UTA,LAC,L,H,37,86,29,60,8,26,13,18,95
297,MIN,POR,L,H,37,76,35,66,2,10,24,32,100
298,POR,MIN,W,H,45,71,34,49,11,22,11,17,112
299,NYK,SAS,L,H,41,87,38,77,3,10,13,15,98
300,SAS,NYK,W,H,45,99,35,74,10,25,6,8,106
301,BOS,PHO,W,H,44,94,30,53,14,41,28,35,130
302,PHO,BOS,L,H,39,86,33,67,6,19,36,49,120
303,CHI,PHI,L,H,37,91,27,67,10,24,23,31,107
304,PHI,CHI,W,H,46,83,38,58,8,25,17,23,117
305,CHO,CLE,L,H,38,90,28,52,10,38,19,24,105
306,CLE,CHO,W,H,41,74,32,49,9,25,21,24,112
307,GSW,SAC,W,H,44,89,34,58,10,31,16,18,114
308,SAC,GSW,L,H,40,83,30,62,10,21,10,13,100
309,HOU,NOP,W,H,44,93,30,54,14,39,15,20,117
310,NOP,HOU,L,H,41,91,27,53,14,38,11,14,107
311,DEN,IND,W,H,39,82,32,55,7,27,40,43,125
312,IND,DEN,L,H,48,95,35,71,13,24,8,11,117
313,LAL,MIN,W,H,46,88,32,65,14,23,24,28,130
314,MIN,LAL,L,H,46,95,39,74,7,21,20,22,119
315,ATL,MIL,L,H,34,83,26,61,8,22,21,24,97
316,MIL,ATL,W,H,39,88,31,61,8,27,14,16,100
317,DET,ORL,L,H,34,96,32,74,2,22,17,20,87
318,ORL,DET,W,H,47,91,35,65,12,26,9,13,115
319,BRK,WAS,L,H,43,82,40,67,3,15,19,26,108
320,WAS,BRK,W,H,49,97,39,71,10,26,21,22,129
321,BRK,PHO,W,H,43,95,35,66,8,29,32,42,126
322,PHO,BRK,L,H,34,93,27,68,7,25,23,34,98
323,DAL,LAC,W,H,38,82,29,56,9,26,12,18,97
324,LAC,DAL,L,H,36,80,27,53,9,27,14,21,95
325,MIA,TOR,L,H,32,82,26,59,6,23,14,23,84
326,TOR,MIA,W,H,35,79,29,56,6,23,25,32,101
327,NYK,POR,L,H,36,88,31,66,5,22,18,20,95
328,POR,NYK,W,H,39,80,28,59,11,21,21,29,110
329,MEM,SAS,L,H,34,78,24,49,10,29,12,15,90
